ShapeID	Name	FileName	InheritanceRate	LimitGrade	ChildGrade0	CalibRatio0	ChildGrade1	CalibRatio1	ChildGrade2	CalibRatio2	ChildGrade3	CalibRatio3	ChildGrade4	CalibRatio4	Rare	PCBangExcept
1	рыжая	h000_skin001_thumbnail.png	30.000000	1	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	1	0
2	гнедая	h000_skin002_thumbnail.png	25.000000	1	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	1	0
3	изабелловая сабино	h000_skin003_thumbnail.png	30.000000	1	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	1	0
4	рыжая с чулками	h000_skin004_thumbnail.png	21.000000	2	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	1	0
5	буланая	h000_skin005_thumbnail.png	23.000000	3	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	1	0
6	изабелловая	h000_skin006_thumbnail.png	21.000000	3	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	1	0
7	чубарая леопард	h000_skin009_thumbnail.png	21.000000	5	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	1	0
8	чубарая чепрачная	h000_skin010_thumbnail.png	15.000000	6	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	2	0
9	светло-серая	h000_skin011_thumbnail.png	7.000000	6	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	3	0
10	серая в яблоках	h000_skin012_thumbnail.png	15.000000	6	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	2	0
11	рыже-пегая	h000_skin013_thumbnail.png	18.000000	6	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	2	0
12	тёмно-гнедая	h000_skin014_thumbnail.png	11.000000	6	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	2	0
13	соловая	h000_skin015_thumbnail.png	15.000000	6	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	2	0
14	вороно-пегая	h000_skin016_thumbnail.png	19.000000	7	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	2	0
15	вороная	h000_skin017_thumbnail.png	7.000000	7	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	3	0
16	бурая сабино	h000_skin018_thumbnail.png	12.000000	6	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	3	0
17	янтарно-кремовая	h000_skin019_thumbnail.png	10.000000	8	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	3	0
18	гнедая подласая	h000_skin020_thumbnail.png	10.000000	7	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	3	0
19	вороная сабино	h000_skin021_thumbnail.png	10.000000	8	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	3	0
20	гнедая в яблоках	h000_skin022_thumbnail.png	5.000000	10	0	0.000000	0	0.000000	0	0.000000	0	0.000000	0	0.000000	3	0
